provider,doc_time,time_date,title,link,desc
Дождь,05 февраля в 09:37,05 февраля,Законопроект о «суверенном интернете» примут в первом чтении в феврале,https://tvrain.ru/articles/zakonoproekt_o_suverennom_internete_primut_v_pervom_chtenii_v_fevrale-479882/,Депутаты намерены одобрить в первом чтении законопроект сенатора Андрея Клишаса о «суверенном интернете» — автономной работе российского сегмента интернета...
Inc.Russia,05 февраля в 02:41,05 февраля,Рунет может стать централизованным,https://incrussia.ru/news/runet-mozhet-stat-tsentralizovannym/,Правительство РФ рекомендовало принять законопроект об автономном интернете в России с доработками.
SakhaNews,04 февраля в 18:34,04 февраля,На создание в РФ автономного интернета потребуются бюджетные деньги,http://1sn.ru/223516.html,"Правительство России в целом поддерживает законопроект о «суверенном интернете», который внесли в Госдуму сенаторы Людмила Бокова, Андрей Клишас и депутат Андрей Луговой, однако считает, что..."
Миг (Запорожье),04 февраля в 18:11,04 февраля,Деньги до зарплаты — как украинцам получить быстро кредит,https://mig.com.ua/dengi-do-zarplaty-kak-ukraincam-poluchit-bystro-kredit/,"Заявка в интернете подается автономно, оператор клиенту не перезванивает, и только если возникают какие-то затруднения можно обратиться в онлайн поддержку."
Legal.Report,04 февраля в 17:40,04 февраля,Медленный интернет объявят вне закона,https://legal.report/medlennyj-internet-objavjat-vne-zakona/,Речь идет о создании центра мониторинга и управления автономным интернетом в составе радиочастотной службы и о регулярных учениях по отражению киберугроз.
ihodl.com,04 февраля в 15:37,04 февраля,Правительство потребовало доработать законопроект об автономном рунете,https://ru.ihodl.com/topnews/2019-02-04/pravitelstvo-potrebovalo-dorabotat-zakonoproekt-ob-avtonomnom-runete/,"Правительство России поддержало законопроект об автономном интернете в стране, однако потребовало его доработать."
Ореанда-Новости,04 февраля в 14:11,04 февраля,Кабмин одобрил закон об автономном российском интернете,https://www.oreanda.ru/it_media/kabmin-odobril-zakon-ob-avtonomnom-rossiyskom-internete/article1252822/,"Напомним, проект закона об автономном интернете внёс в Госдуму сенатор Андрей Клишас. По мнению политика, российский сегмент интернета должен иметь возможность работать..."
Диалог,04 февраля в 14:09,04 февраля,Исполнение закона об автономном Рунете потребует дополнительных расходов,https://topdialog.ru/2019/02/04/ispolnenie-zakona-ob-avtonomnom-runete-potrebuet-dopolnitelnyh-rashodov/,Исполнение закона об автономном интернете в России потребует дополнительных расходов из бюджета.
Lenta.ru,04 февраля в 13:56,04 февраля,На устойчивость интернета в России потребуются бюджетные деньги,https://lenta.ru/news/2019/02/04/separate_internet/,"Законопроект об автономном интернете внесен в Госдуму 14 декабря 2018 года сенатором Андреем Клишасом, его коллегой Людмилой Боковой и депутатом Андреем Луговым."
ИА СИА-Пресс,04 февраля в 13:32,04 февраля,В правительстве поддержали законопроект об автономной работе Рунета,http://www.siapress.ru/news/85192,Правительство положительно оценило законопроект сенатора Андрея Клишаса об обеспечении автономной работы интернета в России в случае...
The Geek,01 февраля в 12:33,01 февраля,Россию могут отключить от глобальной сети,https://the-geek.ru/news/rossiju-mogut-otkljuchit-ot-globalnoj-seti,"В декабре прошлого года депутаты создали документ, который предусматривает создание автономного российского интернета."
Promdevelop,31 января в 20:09,31 января,Отключения России от мирового Интернета активно обсуждается в ГД,https://promdevelop.ru/news/gosduma-rassmatrivaet-stsenarii-otklyucheniya-rossii-ot-mirovogo-interneta/,Ранее в Думу вносился законопроект Лугового и Клишаса о создании автономного «российского интернета».
Национальная служба новостей,31 января в 18:30,31 января,Бред или реальность? Эксперты оценили идею суверенного российского интернета,http://nsn.fm/society/bred-ili-realnost-eksperty-ocenili-ideyu-suverennogo-rossiyskogo-interneta.html,"«Может ли российский интернет существовать автономно, если отключат?"
Урал-пресс-информ,31 января в 16:01,31 января,В Челябинске будут судить создателя интернет-магазина по распространению наркотиков,http://uralpress.ru/news/proisshestviya/v-chelyabinske-budut-sudit-sozdatelya-internet-magazina-po-rasprostraneniyu,"Так, в декабре 2015 года была образована самостоятельно действующая группа, действующая под видом автономного интернет-магазина «SHANELL174»..."
Взгляд.ру,25 января в 17:40,25 января,Почему для Сороса Си Цзиньпин страшнее Путина,https://vz.ru/politics/2019/1/25/961136.html,"Так же как автономен китайский интернет. То есть не вписана в глобальную сеть – в тот проект атлантической глобализации, согласно которому не будет ни китайца, ни американца."
Ульяновск сегодня,25 января в 13:26,25 января,Нам смогут изолировать Интернет? Отвечает ульяновский IT-специалист,http://ultoday73.ru/nam-smogut-izolirovat-internet-otvechaet-ulyanovskij-it-spetsialist/,"— Интернет могут выключить операторы связи в случае объявления такой команды. У нас нет автономных источников Интернета, независимых от операторов."
Собака.ru,18 января в 17:12,18 января,«Яндекс» и Mail.ru поддерживают законопроект об автономном интернете,http://www.sobaka.ru/city/internet/84681,...российского IT-холдинга Mail.ru Group поддержал законопроект об автономной работе рунета.
"Читай и думай, Сызрань",18 января в 15:09,18 января,У нас будет свой интернет: автономная версия рунета - российский ответ на американскую кибербезопасность,http://syzrantoday.ru/index.php/news/item/25852-u-nas-budet-svoj-internet-avtonomnaya-versiya-runeta-rossijskij-otvet-na-amerikanskuyu-kiberbezopasnost,"Российскийсегмент интернета - уязвим, и нашей стране срочно нужен цифровой суверенитет: проще говоря, россиянам хотят предложить отечественную версию глобальной сети, слегка автономную, но зато..."
Общественное телевидение России,18 января в 14:28,18 января,Законопроект об автономном интернете поддержали в Mail.ru,https://otr-online.ru/news/zakonoproekt-ob-avtonomnom-internete-podderzhali-v-mailru-118630.html,"Mail.ru Group поддержала законопроект об автономной работе рунета, сообщает RNS. …Законопроект об автономной работе рунета внесли в Госдуму депутат Андрей Луговой вместе с сенаторами Андреем..."
Оka.fm,18 января в 12:12,18 января,«Яндекс» и «Маil.ru» поддержали отключение России от глобальной Сети и создания автономного интернета,http://www.oka.fm/new/read/social/YAndeks-i-Mailru-podderzhali-otklyuchenie-Rossii-ot/,"Компании-гиганты «Яндекс» и «Маil.ru» высказали свое одобрение концепции законопроекта о «суверенном интернете». …Его смысл в том, чтобы обеспечить автономную работу российского сегмента..."
Sostav.ru,18 января в 10:50,18 января,«Яндекс» и Mail.Ru Group поддержали законопроект об автономном интернете,https://www.sostav.ru/publication/yandeks-i-mail-ru-group-podderzhali-zakonoproekt-ob-avtonomnom-runete-35267.html,"Mail.Ru Group и «Яндекс» поддержали законопроект об автономной работе рунета. …Законопроект предусматривает создание инфраструктуры, которая будет позволять обеспечивать работоспособность..."
Znak.com,18 января в 13:00,18 января,Mail.ru и «Яндекс» поддержали законопроект об автономном интернете,https://www.znak.com/2019-01-18/mail_ru_i_yandeks_podderzhali_zakonoproekt_ob_avtonomnom_internete,"Данный законопроект должен быть поддержан по той причине, что если все угрозы, против которых он направлен, реализуются, в первую очередь пострадают компании, чей бизнес связан с Интернетом..."
Deutsche Welle - Russian,18 января в 04:38,18 января,Россия сделала еще один шаг к автономному интернету,https://dw.com/p/3BkcR,"Критика закона об автономном интернете В свою очередь директор ""Вымпелкома"" по работе с органами государственной власти Сергей Мальянов обратил внимание на то..."
Хартия'97,18 января в 08:46,18 января,Россия хочет отключиться от мирового интернета,https://charter97.org/ru/news/2019/1/18/320355/,"Критика закона об автономном интернете В свою очередь директор ""Вымпелкома"" по работе с органами государственной власти Сергей Мальянов обратил внимание на то..."
Gazeta.SPb,18 января в 02:17,18 января,"Эксперты рассказали о новом вирусе-вымогателе, который подчиняет компьютеры своей воле",http://www.gazeta.spb.ru/2080320-0/,"Ранее в Gazeta.SPb сообщалось, что автономный интернет России послужит аварийной системой и защитой от хакерских атак ."
Медиазона,18 января в 00:30,18 января,«Яндекс» и владелец «ВКонтакте» поддержали проект создания в России автономного интернета,https://zona.media/news/2019/01/17/yawall,"...Mail.ru Group, которой принадлежит «ВКонтакте», в ходе расширенного заседания Госдумы поддержали законопроект об создании в России автономного сегмента интернета..."
NEWSru.com,18 января в 13:24,18 января,«Яндекс» и Mail.Ru поддержали проект создания в России автономного интернета,https://www.newsru.com/russia/18jan2019/ya_odobr.html,"...Mail.ru Group, которой принадлежит ""ВКонтакте"", в ходе расширенного заседания Госдумы поддержали законопроект об создании в России автономного сегмента интернета..."
InfoResist,17 января в 23:13,17 января,Mail.ru и Яндекс выступили за автономный интернет в России,https://inforesist.org/mail-ru-i-yandeks-vyistupili-za-avtonomnyiy-internet-v-rossii/,"В России в Госдуму внесли законопроект об автономной работе рунета, Mail.ru Group поддерживает данную инициативу. …По его словам, законопроект должен быть поддержан по той причине, что если все..."
Общественное телевидение России,17 января в 22:28,17 января,Мобильные операторы раскритиковали инициативу об автономном рунете,https://otr-online.ru/news/mobilnye-operatory-raskritikovali-iniciativu-ob-avtonomnom-runete-118596.html,Законопроект об автономной работе интернета на случай его отключения от глобальной сети внесли в Госдуму в середине декабря.
iGuides.ru,17 января в 21:32,17 января,«Яндекс» и Mail.Ru не против создания автономного интернета в России,https://www.iguides.ru/main/other/yandeks_i_mail_ru_ne_protiv_sozdaniya_avtonomnogo_interneta_v_rossii/,"По данным RNS, 17 января депутаты Госдумы обсудили с представителями IT-компаний и сотовых операторов законопроект об автономности интернета в России. …«Если все угрозы, против которых он..."
Ридус,17 января в 19:11,17 января,"Что станет с Рунетом, если не сделать его устойчивым",https://www.ridus.ru/news/291295,"У китайцев получилось сделать свой интернет автономным, у них есть корневые сервера. У нас пока нет. Хотя, в общем, я думаю, что и в 2014 году было понятно, что они нужны»..."
Новый День,17 января в 17:17,17 января,«Автономный» Рунет: медленно и очень дорого,https://newdaynews.ru/moskow/653479.html,"По его мнению, реализация идеи об автономном Интернете может также привести к появлению «теневого рынка» Интернет-трафика."
Свободная Пресса,17 января в 08:49,17 января,Дембелям в России запретят соцсети,http://svpressa.ru/war21/news/221927/?rss=1,"Ранее «СП» писала о том, что депутат Госдумы Леонид Левин высказался за законопроект об автономном интернете в России."
Эхо Москвы,14 января в 08:03,14 января,Профильный комитет ГД рассмотрит законопроект о запрете распространения недостоверной общественно значимой информации,https://echo.msk.ru/news/2351639-echo.html,"Среди них в частности законопроект о создании в России автономного интернета, а также норма о введении наказания за «неуважение к власти»."
ИноСМИ,14 января в 02:08,14 января,"Неизвестный интернет: сетевая жизнь в Китае, на Кубе, в Индии и России (The Guardian, Великобритания) (The Guardian)",https://inosmi.ru/social/20190114/244378469.html,"Этот, как его называют, «кубинский Нетфликс» — автономный заместитель интернета, призванный как обойти государственную цензуру..."
Век,13 января в 12:41,13 января,Россияне останутся без связи: эксперты бьют тревогу из-за автономного Интернета,https://wek.ru/rossiyane-ostanutsya-bez-svyazi-yeksperty-byut-trevogu-iz-za-avtonomnogo-interneta,"Что же до самого законопроекта об автономном Интернете, то его авторами стали глава сенатского комитета по госстроительству Андрей Клишас..."
Радио Свобода,12 января в 15:42,12 января,Российские телеком-гиганты выступили против закона о «суверенном интернете»,https://www.svoboda.org/a/29706149.html,Законопроект о создании автономного сегмента интернета в России создаст критическую уязвимость для сети в стране.
Медиазона,12 января в 10:46,12 января,Эксперты предупредили правительство о возможном сбое всей системы связи в России из-за закона об автономном интернете,https://zona.media/news/2019/01/12/internet,Эксперты из организации «Цифровая экономика» направили правительству свой отзыв на законопроект об автономном интернете.
Crypto-news,09 января в 16:45,09 января,Клишас раскрыл подробности законопроекта о блокировке интернета в России,https://ru.crypto-news.io/news/otklyuchenie-interneta-v-rossii-realnye-prichiny.html,Автономный интернет в России Законопроект предлагает набор механизмов по обеспечению независимости российского интернета от воздействий со стороны других государств...
ИА Запад24,30.12.18 в 09:11,30.12.18,Сенатор от Красноярского края о расследовании ФБК: «У меня есть даже больше намного»,http://zapad24.ru/news/territory/63404-senator-ot-krasnoyarskogo-kraya-andrey-klishas-o-rassledovanii-fbk-u-menya-est-dazhe-bolshe-namnogo.html,Андрей Клишас стал сенатором от Красноярского края в 2012 году. Он выступил одним из авторов законопроекта об автономном российском Интернете...
Газета.Ru,28.12.18 в 19:58,28.12.18,Какие законы 2018 года станут определять нашу жизнь в 2019-м,https://www.gazeta.ru/politics/2018/12/26_a_12109375.shtml,"Запрет на оскорбления в интернете и автономный интернет Имена сенаторов Андрея Клишаса и Людмилы Боковой, в свою очередь..."
Тайга.инфо,28.12.18 в 10:53,28.12.18,"Красноярский сенатор не ответил, как ему живется на «бездуховном Западе»",https://tayga.info/144388,"...арест жителей за «неуважение» к власти в интернете, приравнивание недостоверной информации к экстремизму, обеспечения автономной работы интернета в России и других."
Ваши новости,27.12.18 в 09:01,27.12.18,"«У меня много чего есть из того, о чем он пишет, и даже больше намного». Сенатор Клишас ответил Навальному",https://vnnews.ru/social/72314-u-menya-mnogo-chego-est-iz-togo-o-chem-on-pishet-i-dazhe-bolshe-namnogo-senator-klishas-otvetil-navalnomu.html,"Фото из открытого доутспа в интернете. Сенатор Андрей Клишас, инициатор и один из авторов законопроектов об автономном интернете и наказании за неуважительное..."
IT-World,27.12.18 в 07:01,27.12.18,Российский интернет-сегмент готовят к глубокой фильтрации трафика,https://www.it-world.ru/it-news/telecom/143007.html,В середине декабря текущего 2018 года проект этого закона под рабочим названием «Об автономной системе интернет» внесли на рассмотрение в Госдуму РФ сенаторы Андрей...
spbIT.ru,26.12.18 в 18:44,26.12.18,"Бесплатный «суверенитет» Рунета обойдется бюджету не менее чем в 4,6% его затрат на оборону",http://www.spbit.ru/news/n164767/,Законопроект вводит понятие номера автономной интернет-системы — уникального идентфикатора совокупности средств связи и иных технических средств в интернете...
ICT-Online,26.12.18 в 18:44,26.12.18,"Бесплатный «суверенитет» Рунета обойдется бюджету не менее чем в 4,6% его затрат на оборону",http://www.ict-online.ru/news/n164767/,Законопроект вводит понятие номера автономной интернет-системы — уникального идентфикатора совокупности средств связи и иных технических средств в интернете...
ToCrypto,26.12.18 в 18:14,26.12.18,О Андрее Клишасе Навальный выпустил расследование,https://tocrypto.ru/news/o-andree-klishase-navalnyj-vypustil-rassledovanie/,"14 декабря сенаторы Андрей Клишас, Людмила Бокова и парламентарий Андрей Луговой внесли законопроект об автономной работе интернета в РФ в случае отключения от глобальной сети."
Ваши новости,26.12.18 в 16:02,26.12.18,"У сенатора Клишаса, предложившего наказывать за неуважительное обращение к чиновникам в сети, ФБК обнаружил тьму незадекларированной недвижимости",https://vnnews.ru/social/72298-u-senatora-klishasa-predlozhivshego-nakazyvat-za-neuvazhitelnoe-obrashchenie-k-chinovnikam-v-seti-fbk-obnaruzhil-tmu-nezadeklarirovannoj-nedvizhimosti.html,И все благодаря его законопроектам об автономном интернете и наказании за неуважительное обращение к государству и чиновникам в сети.
MAXIM Online,26.12.18 в 13:01,26.12.18,Правительство раскритиковало правительство за закон об автономности российского Интернета,https://www.maximonline.ru/guide/maximir/_article/soverign-internet-is-bad-not-good/,"Но самое главное, чего не поняли эксперты, так это от кого должен быть автономен российский Интернет и от какого рода атак мы должны защищаться."
Sibnet.ru,26.12.18 в 09:28,26.12.18,Подсчитана стоимость автономного российского интернета,http://info.sibnet.ru/article/545358/,"Запуск автономного российского интернета обойдется в 134 миллиарда рублей в год, подсчитали эксперты группы «Связь и IT» при правительстве России."
Настоящее Время,26.12.18 в 07:04,26.12.18,27 декабря. Как завоевать избирателей,https://www.currenttime.tv/a/29676801.html,"Навальный писал про него и раньше, а снова про сенатора вспомнили после его очередных законопроектов – он предложил создать ""автономный интернет"" и наказывать за ""неуважение..."
Nag.ru,26.12.18 в 07:00,26.12.18,"Эксперты при правительстве: реализовать «суверенный Рунет» и трудно, и затратно",http://nag.ru/go/text/102991/,Рабочая группа «Связь и ИТ» Экспертного совета при правительстве РФ в отзыве о законопроекте построения российского «автономного интернета» оценивает эти поправки как...
НДН.инфо,26.12.18 в 06:53,26.12.18,"Сибирский сенатор заявил, что законно заработал на часы за 163 миллиона рублей",https://ndn.info/novosti/23806-sibirskij-senator-zayavil-chto-zakonno-zarabotal-na-chasy-za-163-milliona-rublej,"Автор законодательных инициатив об ""автономном Интернете"" и оскорблении власти в соцсетях, сенатор от Красноярского края Андрей Клишас ответил на расследование ""Фонда..."
Тайга.инфо,26.12.18 в 05:05,26.12.18,ФБК нашел незадекларированную землю у предложившего сажать за негатив к властям красноярского сенатора,https://tayga.info/144325,"...законодательству и госстроительству недавно предложил сажать людей за неуважительные тексты о власти, а также внес законопроект об автономном интернете в России."
Екатеринбург-ТВ,26.12.18 в 04:00,26.12.18,Итоги в законе,https://ekburg.tv/articles/sobytija/2018-12-26/itogi_v_zakone,"Про автономный интернет Сенатор Клишас (да, опять) внес законопроект «об автономной работе интернета»..."
ВашГород.ру,25.12.18 в 21:50,25.12.18,"«Так и не поняли, зачем это надо»: эксперты подсчитали затраты на независимый российский интернет",https://vashgorod.ru/news/120572,"Эксперты подсчитали, какая сумма понадобится на автономный российский интернет. По словам финансистов, единовременные траты могут достичь 25 млрд рублей..."
Коммерсантъ-Online,25.12.18 в 21:04,25.12.18,Сенатор Клишас рассказал о законно заработанном имуществе в ответ на публикацию ФБК,https://www.kommersant.ru/doc/3843011,Господин Клишас — один из авторов законопроектов о российском автономном интернете и введении наказания за оскорбления в интернете представителей власти.
Ваши новости,25.12.18 в 20:01,25.12.18,"Новый «железный занавес», или С чем в действительности связано беспокойство Валентины Матвиенко, что США оставят россиян без интернета",https://vnnews.ru/politic/72278-novyj-zheleznyj-zanaves-ili-s-chem-v-dejstvitelnosti-svyazano-bespokojstvo-valentiny-matvienko-chto-ssha-ostavyat-rossiyan-bez-interneta.html,"Иначе — в данных условиях — автономный интернет просто не нужен. Ибо от кого защищаться-то собрались? От США, что ли?"
Эхо Москвы,25.12.18 в 19:08,25.12.18,Особое мнение: Сергей Смирнов,https://echo.msk.ru/programs/personalno/2339701-echo/,"С.Смирнов― Я не знаю. Дело в том, что сегодня к сенатору Клишасу была история с отзывами экспертов при правительстве к его законопроекту об автономном интернете."
Фонтанка.Ру,25.12.18 в 17:03,25.12.18,"«У меня много чего есть, и даже больше намного». Сенатор Клишас ответил Навальному",https://www.fontanka.ru/2018/12/25/100/,"Он выступил одним из авторов законопроекта об автономном российском Интернете, также вместе с коллегами внёс поправки..."
Sibnet.ru,25.12.18 в 16:52,25.12.18,Подсчитана стоимость автономного российского интернета,http://info.sibnet.ru/?id=545358,"Запуск автономного российского интернета обойдется в 134 миллиарда рублей в год, подсчитали эксперты группы «Связь и IT» при правительстве России."
NEWSru Израиль,25.12.18 в 16:24,25.12.18,«Тайные богатства похитителя интернета»: новое расследование Навального,http://www.newsru.co.il/world/25dec2018/klishas444.html,Законопроект об автономном российском интернете внесли на рассмотрение членов Госдумы сенатор Людмила Бокова...
АПН,25.12.18 в 15:59,25.12.18,Расходы на автономный российский интернет составят 134 млрд рублей в год,https://www.apn.ru/index.php?newsid=37661,"Реализация поправок к законам ""О связи"" и ""Об информации"", известных как проект ""суверенного российского интернета"" обойдется бюджету в 25 млрд рублей, сообщает газета ""Коммерсант"". Эта сумма не..."
Фонтанка.Ру,25.12.18 в 15:32,25.12.18,"Часы на 163 млн рублей, псарня на 30 собак и незадекларированная недвижимость. Навальный рассказал о радостях жизни сенатора Клишаса",https://www.fontanka.ru/2018/12/25/077/,"Он выступил одним из авторов законопроекта об автономном российском Интернете, также вместе с коллегами внёс поправки..."
Телеканал RTVI,25.12.18 в 15:27,25.12.18,"Навальный выпустил расследование о сенаторе Андрее Клишасе, предложившем наказывать за «неуважение» к государству в сети",https://rtvi.com/news/navalnyy-vypustil-rassledovanie-klishase/,"14 декабря сенаторы Андрей Клишас, Людмила Бокова и депутат Андрей Луговой внесли законопроект об автономной работе интернета в России в случае отключения от глобальной..."
Диалог,25.12.18 в 14:42,25.12.18,Эксперты правительства раскритиковали закон об автономном интернете в России,https://topdialog.ru/2018/12/25/jeksperty-pravitelstva-raskritikovali-zakon-ob-avtonomnom-internete-v-rossii/,"Рабочая группа «Связь и IT» экспертного совета при правительстве России считает, что законопроект о «суверенном интернете» нуждается в доработках, передаёт «Коммерсант». …Ни законопроект, ни..."
Медиазона,25.12.18 в 13:58,25.12.18,"Навальный рассказал о незадекларированной недвижимости сенатора Клишаса, который внес законопроект об автономном интернете",https://zona.media/news/2018/12/25/klishas,"Клишас один из авторов законопроекта об автономном интернете, который раскритиковали в правительстве."
9tv.co.il,25.12.18 в 15:00,25.12.18,"ФБК Навального рассказал о часах, псарнях и особняках «похитителя интернета»",http://9tv.co.il/news/2018/12/25/265456.html,"По предварительным подсчетам, автономный интернет обойдется россиянам в 134 миллиарда рублей ежегодно. ""Чиновник, который пишет эти законы..."
Репортёр,25.12.18 в 12:53,25.12.18,Во сколько обойдется автономный российский интернет,https://topcor.ru/4580-vo-skolko-obojdetsja-avtonomnyj-rossijskij-internet.html,"В условиях напряженных отношений с Западом, создание собственного, автономного интернета становится насущной потребностью для России."
CNews,25.12.18 в 12:46,25.12.18,«Суверенный Рунет» обойдется бюджету в 130 млрд руб. в год,http://www.cnews.ru/news/top/2018-12-25_eksperty_pri_pravitelstve_avtonomiya_runeta,Законопроект вводит понятие номера автономной интернет-системы — уникального идентфикатора совокупности средств связи и иных технических средств в интернете...
NEWSru Израиль,25.12.18 в 11:57,25.12.18,«Суверенный интернет» обойдется россиянам в 2 млрд долларов подсчитали эксперты,http://www.newsru.co.il/world/25dec2018/set444.html,Законопроект об автономном российском интернете внесли на рассмотрение членов Госдумы сенатор Людмила Бокова...
Planet Today,25.12.18 в 11:47,25.12.18,Эксперты оценили стоимость создания автономного российского интернета,http://planet-today.ru/novosti/tekhnologii/item/97070-eksperty-otsenili-stoimost-sozdaniya-avtonomnogo-rossijskogo-interneta,Реализация проекта закона об автономном отечественном интернете потребует сто тридцать четыре миллиарда рублей в год.
Рамблер,25.12.18 в 11:33,25.12.18,Названы затраты на автономный интернет в РФ,https://news.rambler.ru/tech/41482063-otsenena-stoimost-sozdaniya-avtonomnogo-runeta/,"Они полагают, что возможное одобрение инициативы приведёт к многомиллиардным затратам, расширит полномочия Роскомнадзора и несёт за собой «неприемлемые коррупционные риски». По оценкам экспертов..."
Дождь,25.12.18 в 11:20,25.12.18,Эксперты при правительстве раскритиковали законопроект об «суверенном интернете»,https://tvrain.ru/news/eksperty_pri_pravitelstve_raskritikovali_zakonoproekt_ob_avtonomnom_internete-477664/,"Поправки об автономном российском интернете 14 декабря внесли в Госдуму сенатор Людмила Бокова, председатель комитета Совета Федерации по конституционному законодательству и..."
Lenta.ru,25.12.18 в 11:12,25.12.18,Оценена стоимость создания автономного российского интернета,https://lenta.ru/news/2018/12/25/silen_rkn/,"Законопроект об автономной работе рунета обойдется в 134 миллиарда рублей в год, считают члены группы «Связь и IT» при правительстве России. …Отзыв экспертного совета цитирует «Коммерсантъ»."
Чеченская Республика Сегодня,25.12.18 в 11:49,25.12.18,Автономный российский интернет будет стоить более 130 млрд. руб. в год,https://chechnyatoday.com/news/322419,"Законопроект об автономной работе рунета обойдется в 134 миллиарда рублей в год, считают члены группы «Связь и IT» при правительстве России. …В эту сумму включены затраты на создание и ведение..."
Радио Свобода,25.12.18 в 11:05,25.12.18,Эксперты правительства РФ критикуют закон об автономном интернете,https://www.svoboda.org/a/29675221.html,Закон об автономном интернете потребует расширения штата подведомственных Роскомнадзору структур.
Радио Азаттык Казахстан,25.12.18 в 13:17,25.12.18,Эксперты правительства России критикуют закон об автономном Интернете,https://rus.azattyq.org/a/29675391.html,Закон об автономном интернете потребует расширения штата подведомственных Роскомнадзору структур.
Медиазона,25.12.18 в 10:20,25.12.18,«Коммерсант»: в правительстве оценили компенсации операторам связи для создания автономного интернета в 134 млрд рублей в год,https://zona.media/news/2018/12/25/internet,"Экспертный совет при правительстве раскритиковал идею создать автономный интернет, пишет «Коммерсант» со ссылкой на отзыв рабочей группы."
ihodl.com,25.12.18 в 09:28,25.12.18,Эксперты оценили стоимость перехода на автономный рунет,https://ru.ihodl.com/topnews/2018-12-25/eksperty-ocenili-stoimost-perehoda-na-avtonomnyj-runet/,"Если российский законопроект об автономной работе интернета будет реализован, возникнут риски перебоев связи, а полномочия Роскомнадзора чрезмерно расширятся."
Инфо24,25.12.18 в 08:12,25.12.18,Затраты на «суверенный интернет» оценили в 367 млн рублей в день,https://info24.ru/news/zatraty-na-suverennyj-internet-ocenili-v-367-mln-rublej-v-den.html,Автономный интернет Инициативу об автономной работе российского сегмента интернета внесли в Госдуму 14 декабря.
Инвесткафе,25.12.18 в 14:41,25.12.18,Создание в России автономного интернета обойдется в 134 млрд в год,http://investcafe.ru/news/70448,"Законопроект о «суверенном интернете», который был внесен в Госдуму 14 декабря, создает риск нарушения работы рунета и чрезмерно расширяет полномочия Роскомнадзора по управлению отраслью связи..."
Snob.ru,25.12.18 в 04:54,25.12.18,Эксперты: переход на автономный рунет будет стоить 134 миллиарда рублей в год,http://snob.ru/news/170156,"Если власти реализуют законопроект об автономной работе интернета, появятся риски перебоев связи, а полномочия Роскомнадзора станут шире."
Независимая газета,24.12.18 в 16:56,24.12.18,Интернет-ракетчики хотят подкупить ФСБ,http://www.ng.ru/economics/2018-12-24/100_sattelit2412.html,Попытка включить Россию в новый глобальный сервис противоречит курсу чиновников РФ на изоляцию и автономный Интернет.
Lenta.ru,24.12.18 в 13:44,24.12.18,Подготовку к отключению России от мировой сети посоветовали отложить,https://lenta.ru/news/2018/12/24/net_runet/,Совет Федерации предложил не торопиться с принятием закона об автономном российском интернете.
