provider,doc_time,time_date,title,link,desc
Новая газета,26 февраля в 16:52,26 февраля,В Москве арестовали активистку «Ассоциации народного сопротивления» за акцию против закона об автономном Рунете,https://www.novayagazeta.ru/news/2019/02/26/149564-v-moskve-arestovali-aktivistku-assotsiatsii-narodnogo-soprotivleniya-za-aktsiyu-protiv-zakona-ob-avtonomnom-runete,"...суд Москвы на семь суток арестовал активистку «Ассоциации народного сопротивления» Анастасию Зиновкину за акцию против автономного российского интернета, сообщает..."
SakhaNews,26 февраля в 23:27,26 февраля,В Москве арестована активистка за акцию против закона об автономном интернете,http://1sn.ru/224694.html,"...суд Москвы на семь суток арестовал активистку «Ассоциации народного сопротивления» Анастасию Зиновкину за акцию против автономного российского интернета, сообщает..."
Медиазона,26 февраля в 15:34,26 февраля,В Москве арестовали еще одну участницу акции против закона об автономном интернете,https://zona.media/news/2019/02/26/banner,...25-летнюю активистку «Ассоциации народного сопротивления» Анастасию Зиновкину за акцию против закона об автономном интернете (часть 8 статьи 20.2 КоАП)...
Медиазона,25 февраля в 14:20,25 февраля,Правительство поручило Роскомнадзору создать Центр мониторинга и управления сетью связи,https://zona.media/news/2019/02/22/internet,"...пользования для реализации законопроекта об автономном интернете, сообщается на"
Медиазона,25 февраля в 14:20,25 февраля,"Волонтер красноярского штаба Навального сообщил, что его отстранили от работы на Универсиаде",https://zona.media/news/2019/02/23/marjasov,"Так, в феврале он провел одиночный пикет против законопроекта об автономном интернете и был задержан."
Собака.ru,25 февраля в 12:45,25 февраля,Законопроект об автономном интернете в России решили смягчить,http://www.sobaka.ru/city/internet/86524,Комитет Госдумы по информационной политике решил смягчить законопроект об автономном интернете в России.
Newsinfo,25 февраля в 10:42,25 февраля,Путин: Россия должна быть готовой к отключению от глобальной Сети,http://www.newsinfo.ru/news/2019-02-25/784909/,"По этим причинам Россия, как считает Путин, должна задуматься над созданием автономного интернета, а именно, ""таких сегментов, которые ни от кого не зависят""."
Радио Свобода,23 февраля в 11:00,23 февраля,Чтобы не думали. Вера Васильева – о некритических мыслях,https://www.svoboda.org/a/29777068.html,"Госдума РФ поддержала законопроект об ""автономном интернете"". Учебник ""Экономика"" для старшеклассников доктора экономических наук Игоря Липсица не включили в Федеральный..."
CNews,22 февраля в 16:39,22 февраля,Правительство поручило Роскомнадзору создать «сердце автономного Рунета». Сколько оно будет стоить,http://www.cnews.ru/news/top/2019-02-22_pravitelstvo_poruchilo_roskomnadzoru_sozdat,"Документ предполагает обязательную установку операторами связи, организаторами обмена информации в сети интернет (ОРИ), владельцами технологических сетей связи и автономных..."
MoneyTimes.Ru,22 февраля в 16:27,22 февраля,Путин: нужно готовиться к отключению от мирового интернета,http://www.moneytimes.ru/news/2019-02-22/15610/,"Поэтому РФ, как сказал Владимир Путин, должна работать над созданием автономного интернета, то есть «таких сегментов, которые ни от кого не зависят»."
Обозреватель,22 февраля в 16:25,22 февраля,Путин бросается в лапы опасной и мощной стране,https://www.obozrevatel.com/russia/21121-putin-brosaetsya-v-lapyi-opasnoj-i-moschnoj-strane.htm,"Экономика Китая в 10 раз больше, чем российская и у них есть этот автономный интернет. Это уже какая-то паранойя – бросаться в лапы опасной и мощной стране..."
Обозреватель,22 февраля в 15:19,22 февраля,«Выход из жизни» россиян. Наконец-то Путин рассказал правду,https://www.obozrevatel.com/russia/aleksandr-sotnik-vyihod-iz-zhizni-rossiyan-nakonets-to-putin-rasskazal-pravdu.htm,"Россия, по словам Путина, должна создавать автономный интернет - ""такие сегменты, которые ни от кого не зависят"". ""Это совершенно очевидно, - сказал Путин."
Хартия'97,22 февраля в 21:08,22 февраля,Послание без мультиков,https://charter97.org/ru/news/2019/2/22/324532/,"Россия, по словам Путина, должна создавать автономный интернет - «такие сегменты, которые ни от кого не зависят»."
The Insider,22 февраля в 12:59,22 февраля,Роскомнадзор создаст Центр мониторинга и управления сетью связи для законопроекта об автономном интернете,https://theins.ru/news/143074,...связи общего пользования для реализации законопроекта об автономном интернете.
Фонтанка.Ру,22 февраля в 14:10,22 февраля,Центр мониторинга и управления сетью связи должен появиться до июля 2019 года. Его созданием займётся Роскомнадзор,https://www.fontanka.ru/2019/02/22/066/,Правительство России поручило Роскомнадзору создать Центр мониторинга и управления сетью связи общего пользования для реализации законопроекта об автономном Интернете.
Mosaica.ru,22 февраля в 11:19,22 февраля,Правительство возьмет под контроль интернет,https://mosaica.ru/ru/mo/news/2019/02/22/pravitelstvo-vozmet-pod-kontrol-internet,"До 1 мая определят, какую информацию планируется анализировать.На реализацию закона об автономном интернете российское правительство направит 20 миллиардов рублей."
Московский Комсомолец Тверь,22 февраля в 11:06,22 февраля,"Тверские эксперты рассказали, что будет при отключении интернета",https://tver.mk.ru/social/2019/02/22/tverskie-eksperty-rasskazali-chto-budet-pri-otklyuchenii-interneta.html,"А если события начнут развиваться по худшему для России сценарию, и автономный отечественный интернет заработает в штатном режиме..."
Координационный центр домена .RU / .РФ,21 февраля в 14:50,21 февраля,Обмен опытом с зарубежными коллегами – ключ к развитию национальных доменов,https://cctld.ru/ru/press_center/news/news_detail.php?ID=12867,"...интернет-инфраструктуры и успокоил слушателей, подробно объяснив, что же такое на самом деле «автономный российский интернет»."
Хартия'97,21 февраля в 14:12,21 февраля,Путин призвал Россию готовиться к отключению от интернета,https://charter97.org/ru/news/2019/2/21/324362/,"Поэтому Россия, по словам Путина, должна создавать автономный интернет - «такие сегменты, которые ни от кого не зависят»."
Элитный трейдер,21 февраля в 18:43,21 февраля,Путин призвал готовиться к отключению от мирового интернета,http://elitetrader.ru/index.php?newsid=439889,"Поэтому Россия, по словам Путина, должна создавать автономный интернет - «такие сегменты, которые ни от кого не зависят»."
VGTimes.Ru,21 февраля в 10:22,21 февраля,"«Они там сидят и все слушают, а так не будут» — Путин объяснил, зачем России свой интернет",https://vgtimes.ru/news/55389-oni-tam-sidyat-i-vse-slushayut-a-tak-ne-budut-putin-obyasnil-zachem-rossii-svoy-internet.html,"Президент России Владимир Путин на встрече с представителями российских СМИ рассказал, зачем государству нужен автономный интернет."
Радио Свобода,21 февраля в 10:20,21 февраля,Без имени. Андрей Мальгин – об анонимности в интернете,https://www.svoboda.org/a/29778184.html,"Вот сейчас живо обсуждается закон об ""автономном интернете"". Закон якобы должен обеспечить мгновенное отключение российских пользователей не только от конкретных..."
Фраза,21 февраля в 10:02,21 февраля,«Тем лучше». Путин прокомментировал возможность отключения России от мирового интернета,http://fraza.ua/video/276339-tem-luchshe-putin-prokommentiroval-vozmozhnost-otkljuchenija-rossii-ot-mirovogo-interneta-,"Комментируя вопрос создания автономного «российского интернета», он заявил, что возможность отключения РФ от мировой сети исключать нельзя."
Репортёр,21 февраля в 09:56,21 февраля,"Путин: Карибского кризиса не будет, но отключение от интернета возможно",https://topcor.ru/6153-putin-karibskogo-krizisa-ne-budet-no-otkljuchenie-ot-interneta-vozmozhno.html,"Недавно мы сообщали, как Госдума России в первом чтении приняла законопроект «о суверенном интернете» («автономном рунете»), а также..."
Столица С,21 февраля в 09:35,21 февраля,"Путин объяснил, зачем нужна изоляция российского интернета",https://stolica-s.su/news/russia/182404,12 февраля Госдума одобрила в первом чтении законопроект о «суверенном интернете» — автономной работе российского сегмента интернета.
Daily,21 февраля в 08:16,21 февраля,"Путин заявил, что Россию могут отключить от Интернета",https://gubdaily.ru/blog/news/putin-zayavil-chto-rossiyu-mogut-otklyuchit-ot-interneta/,"Напомним, недавно Госдума одобрила в первом чтении законопроект о «суверенном Интернете» — автономной работе российского сегмента Интернета."
